iter	Passed	Remaining
0	37	34279
1	72	32898
2	109	32760
3	144	32583
4	181	32601
5	215	32218
6	252	32367
7	288	32355
8	325	32335
9	360	32272
10	393	31985
11	426	31716
12	465	31914
13	499	31743
14	532	31580
15	543	30171
16	580	30292
17	618	30439
18	650	30317
19	683	30220
20	716	30140
21	748	30015
22	780	29886
23	813	29841
24	847	29805
25	878	29681
26	911	29609
27	943	29514
28	977	29498
29	1013	29522
30	1047	29512
31	1081	29480
32	1119	29546
33	1156	29592
34	1189	29522
35	1217	29346
36	1247	29235
37	1273	29031
38	1301	28863
39	1332	28779
40	1360	28633
41	1387	28472
42	1410	28252
43	1436	28080
44	1461	27896
45	1486	27734
46	1513	27602
47	1538	27436
48	1565	27307
49	1592	27195
50	1618	27077
51	1643	26933
52	1668	26794
53	1671	26305
54	1695	26175
55	1721	26063
56	1748	25983
57	1776	25910
58	1805	25858
59	1830	25753
60	1857	25674
61	1898	25786
62	1900	25376
63	1926	25287
64	1955	25235
65	1982	25166
66	2010	25112
67	2037	25047
68	2048	24788
69	2076	24741
70	2087	24496
71	2127	24584
72	2150	24482
73	2177	24418
74	2203	24360
75	2231	24309
76	2256	24235
77	2281	24164
78	2308	24102
79	2334	24040
80	2360	23980
81	2389	23955
82	2417	23908
83	2443	23850
84	2471	23810
85	2496	23747
86	2525	23715
87	2554	23684
88	2597	23782
89	2623	23726
90	2648	23661
91	2674	23607
92	2700	23550
93	2725	23487
94	2754	23452
95	2779	23393
96	2806	23345
97	2831	23287
98	2855	23220
99	2884	23187
100	2912	23157
101	2937	23096
102	2965	23059
103	2991	23012
104	3018	22972
105	3043	22911
106	3068	22856
107	3093	22801
108	3121	22769
109	3146	22711
110	3171	22658
111	3198	22620
112	3224	22572
113	3249	22516
114	3298	22629
115	3323	22579
116	3349	22528
117	3374	22479
118	3416	22534
119	3445	22509
120	3469	22452
121	3495	22405
122	3520	22352
123	3545	22304
124	3570	22249
125	3595	22200
126	3624	22173
127	3649	22122
128	3687	22151
129	3711	22098
130	3738	22057
131	3765	22022
132	3792	21986
133	3819	21949
134	3845	21902
135	3869	21849
136	3897	21820
137	3927	21799
138	3956	21776
139	4007	21870
140	4034	21832
141	4059	21785
142	4086	21745
143	4115	21720
144	4143	21689
145	4170	21652
146	4208	21673
147	4234	21631
148	4260	21589
149	4286	21546
150	4311	21502
151	4341	21477
152	4369	21445
153	4395	21408
154	4421	21365
155	4448	21327
156	4478	21307
157	4503	21263
158	4531	21232
159	4558	21196
160	4587	21169
161	4613	21129
162	4637	21083
163	4663	21042
164	4688	20998
165	4711	20946
166	4724	20849
167	4752	20822
168	4781	20794
169	4807	20755
170	4832	20715
171	4863	20696
172	4894	20681
173	4922	20652
174	4950	20621
175	4977	20588
176	5002	20547
177	5030	20515
178	5055	20474
179	5082	20443
180	5108	20403
181	5137	20379
182	5164	20346
183	5189	20306
184	5215	20268
185	5242	20237
186	5269	20203
187	5296	20172
188	5323	20139
189	5350	20106
190	5376	20071
191	5402	20033
192	5428	19997
193	5454	19960
194	5483	19936
195	5511	19907
196	5540	19885
197	5565	19844
198	5594	19818
199	5621	19789
200	5650	19764
201	5678	19733
202	5704	19700
203	5732	19670
204	5758	19636
205	5789	19615
206	5815	19580
207	5840	19544
208	5884	19567
209	5910	19534
210	5937	19502
211	5962	19463
212	5988	19428
213	6015	19396
214	6040	19357
215	6069	19331
216	6095	19297
217	6122	19267
218	6151	19242
219	6177	19207
220	6202	19168
221	6228	19135
222	6253	19095
223	6276	19055
224	6306	19030
225	6332	18997
226	6359	18965
227	6386	18936
228	6411	18899
229	6436	18862
230	6462	18826
231	6487	18790
232	6512	18756
233	6539	18725
234	6565	18690
235	6590	18654
236	6616	18620
237	6643	18590
238	6669	18558
239	6694	18520
240	6721	18491
241	6745	18453
242	6774	18428
243	6802	18399
244	6830	18371
245	6857	18343
246	6885	18314
247	6911	18280
248	6938	18251
249	6962	18212
250	6987	18177
251	7011	18141
252	7036	18106
253	7062	18073
254	7091	18048
255	7118	18018
256	7144	17985
257	7169	17950
258	7195	17918
259	7221	17887
260	7247	17854
261	7273	17822
262	7302	17798
263	7328	17765
264	7353	17731
265	7379	17700
266	7406	17669
267	7431	17635
268	7461	17614
269	7489	17585
270	7516	17558
271	7543	17527
272	7568	17493
273	7605	17486
274	7633	17459
275	7657	17424
276	7686	17398
277	7711	17364
278	7734	17327
279	7763	17302
280	7789	17269
281	7814	17236
282	7838	17201
283	7864	17168
284	7889	17136
285	7914	17101
286	7943	17076
287	7971	17051
288	7996	17016
289	8022	16985
290	8047	16951
291	8071	16917
292	8103	16898
293	8128	16865
294	8155	16836
295	8184	16810
296	8209	16777
297	8236	16750
298	8264	16722
299	8290	16691
300	8317	16662
301	8373	16692
302	8399	16659
303	8426	16630
304	8453	16601
305	8479	16571
306	8507	16544
307	8532	16511
308	8558	16480
309	8587	16453
310	8614	16425
311	8641	16396
312	8667	16365
313	8719	16383
314	8749	16359
315	8775	16329
316	8803	16300
317	8828	16269
318	8857	16243
319	8883	16213
